dataset,model,scan_index,source_file,parameter,value,std_error,unit,is_fixed,optimizer_std_error,uncertainty_method
Cell_1_GEIS_SOC100_scan2,two_cpe_w,2,Cell_1_GEIS_SOC100_scan2.csv,CPE1_1,0.9999999999999999,0.5785290573705729,-,0,0.5785295122391783,finite_difference_covariance
Cell_1_GEIS_SOC100_scan2,two_cpe_w,2,Cell_1_GEIS_SOC100_scan2.csv,R2,5.300949260405997,1.431753474996055,Ohm,0,1.4317570193610323,finite_difference_covariance
Cell_1_GEIS_SOC100_scan2,two_cpe_w,2,Cell_1_GEIS_SOC100_scan2.csv,CPE2_0,0.0014106374983428004,0.00020799564125787166,Ohm^-1 sec^a,0,0.00020799427522515,finite_difference_covariance
Cell_1_GEIS_SOC100_scan2,two_cpe_w,2,Cell_1_GEIS_SOC100_scan2.csv,CPE2_1,0.998638449108951,0.04114746340000089,-,0,0.041147251251814204,finite_difference_covariance
Cell_1_GEIS_SOC100_scan2,two_cpe_w,2,Cell_1_GEIS_SOC100_scan2.csv,Wo1_0,2.2317014922205374,1.1147422743161082,Ohm,0,1.11474225737042,finite_difference_covariance
Cell_1_GEIS_SOC100_scan2,two_cpe_w,2,Cell_1_GEIS_SOC100_scan2.csv,Wo1_1,1.780310369127551,0.9147477750107718,sec,0,0.9147477718133687,finite_difference_covariance
Cell_2_GEIS_SOC70,two_cpe_w_scan1,1,Cell_2_GEIS_SOC70.csv,R0,0.11771831038664755,0.004948722024087415,Ohm,0,0.004948721594903527,finite_difference_covariance
Cell_2_GEIS_SOC70,two_cpe_w_scan1,1,Cell_2_GEIS_SOC70.csv,R1,0.07253006462143663,0.02124499700820271,Ohm,0,0.021244997804771973,finite_difference_covariance
Cell_2_GEIS_SOC70,two_cpe_w_scan1,1,Cell_2_GEIS_SOC70.csv,CPE1_0,0.403437819865894,0.32264673126605264,Ohm^-1 sec^a,0,0.3226467561072294,finite_difference_covariance
Cell_2_GEIS_SOC70,two_cpe_w_scan1,1,Cell_2_GEIS_SOC70.csv,CPE1_1,0.5216871644434136,0.11612841109972609,-,0,0.11612841682972513,finite_difference_covariance
Cell_2_GEIS_SOC70,two_cpe_w_scan1,1,Cell_2_GEIS_SOC70.csv,R2,0.32222438572672985,0.022649522210264807,Ohm,0,0.022649523715603304,finite_difference_covariance
Cell_2_GEIS_SOC70,two_cpe_w_scan1,1,Cell_2_GEIS_SOC70.csv,CPE2_0,0.41090340204909176,0.016708891243144994,Ohm^-1 sec^a,0,0.01670889298521003,finite_difference_covariance
Cell_2_GEIS_SOC70,two_cpe_w_scan1,1,Cell_2_GEIS_SOC70.csv,CPE2_1,0.86377687972945,0.02773392948472398,-,0,0.027733929981390147,finite_difference_covariance
Cell_2_GEIS_SOC70,two_cpe_w_scan1,1,Cell_2_GEIS_SOC70.csv,Wo1_0,0.44904497231183965,0.03307550535357463,Ohm,0,0.033075507782435884,finite_difference_covariance
Cell_2_GEIS_SOC70,two_cpe_w_scan1,1,Cell_2_GEIS_SOC70.csv,Wo1_1,5.577850875294585,0.5490229023036945,sec,0,0.5490229526617801,finite_difference_covariance
Cell_2_GEIS_SOC70,two_cpe_w_scan2,2,Cell_2_GEIS_SOC70.csv,R0,0.11894399506013106,0.0034496538817904783,Ohm,0,0.0034496538312144367,finite_difference_covariance
Cell_2_GEIS_SOC70,two_cpe_w_scan2,2,Cell_2_GEIS_SOC70.csv,R1,0.06697004503212271,0.013528318470348903,Ohm,0,0.013528320131747183,finite_difference_covariance
Cell_2_GEIS_SOC70,two_cpe_w_scan2,2,Cell_2_GEIS_SOC70.csv,CPE1_0,0.32371275215919376,0.19507984627374808,Ohm^-1 sec^a,0,0.19507987398833704,finite_difference_covariance
Cell_2_GEIS_SOC70,two_cpe_w_scan2,2,Cell_2_GEIS_SOC70.csv,CPE1_1,0.5531770575102265,0.08744023430421298,-,0,0.08744024475308367,finite_difference_covariance
Cell_2_GEIS_SOC70,two_cpe_w_scan2,2,Cell_2_GEIS_SOC70.csv,R2,0.32008780294212064,0.01491326794121751,Ohm,0,0.01491326973361339,finite_difference_covariance
Cell_2_GEIS_SOC70,two_cpe_w_scan2,2,Cell_2_GEIS_SOC70.csv,CPE2_0,0.4014906275222439,0.011788832445220485,Ohm^-1 sec^a,0,0.01178883371968246,finite_difference_covariance
Cell_2_GEIS_SOC70,two_cpe_w_scan2,2,Cell_2_GEIS_SOC70.csv,CPE2_1,0.8571223042072713,0.01965691512526369,-,0,0.019656916554910944,finite_difference_covariance
Cell_2_GEIS_SOC70,two_cpe_w_scan2,2,Cell_2_GEIS_SOC70.csv,Wo1_0,0.4772001015931015,0.024647656397037497,Ohm,0,0.02464765866643155,finite_difference_covariance
Cell_2_GEIS_SOC70,two_cpe_w_scan2,2,Cell_2_GEIS_SOC70.csv,Wo1_1,6.234375999526895,0.4733709479536626,sec,0,0.47337098862844973,finite_difference_covariance
