dataset,model,scan_index,source_file,n_points,n_parameters,rss_complex,rmse_complex,aicc,n_parameters_effective_sensitivity,aicc_effective_sensitivity,converged,fit_n_points,excluded_inductive_points,fit_rss_complex,fit_rmse_complex,circuit,fixed_parameters,n_multistarts,warnings,lin_kk_M,lin_kk_mu,lin_kk_rmse_complex_ohm,lin_kk_normalized_rmse,lin_kk_max_abs_normalized_residual,delta_aicc_within_dataset,selected_by_aicc,delta_aicc_effective_sensitivity
exampleData,randles_rc_w,1,exampleData.csv,66,5,0.0004701758010917653,0.0018873096955875652,-1645.490976563638,5,-1645.490976563638,1,57,9,0.00011816202442698987,0.0010180908536086873,"R0-p(R1-Wo1,C1)",{},8,none,14,0.8186562595525391,0.0008954755966868075,0.030209970742632365,0.10049879487989904,62.64157410111375,0,60.41034829466207
exampleData,randles_cpe_w,1,exampleData.csv,66,6,0.00031842987320241696,0.0015531733722481643,-1694.7361474704664,6,-1694.7361474704664,1,57,9,3.0433765516152284e-05,0.0005166844834179217,"R0-p(R1-Wo1,CPE1)",{},8,none,14,0.8186562595525391,0.0008954755966868075,0.030209970742632365,0.10049879487989904,13.396403194285313,0,11.165177387833637
exampleData,two_rc_w_fixed_r0,1,exampleData.csv,66,6,0.0002876988776547233,0.0014763254898326865,-1708.1325506647518,7,-1705.9013248583,1,57,9,1.9063479401409002e-05,0.00040892970486519024,"R0-p(R1,C1)-p(R2,C2)-Wo1","{""R0"": 0.01568817257402621}",8,none,14,0.8186562595525391,0.0008954755966868075,0.030209970742632365,0.10049879487989904,0.0,1,0.0
exampleData,two_rc_w_free,1,exampleData.csv,66,7,0.00029028072986526156,0.001482935075575864,-1704.722021110456,7,-1704.722021110456,1,57,9,1.4747938549809918e-05,0.00035967746943042805,"R0-p(R1,C1)-p(R2,C2)-Wo1",{},8,none,14,0.8186562595525391,0.0008954755966868075,0.030209970742632365,0.10049879487989904,3.410529554295863,0,1.1793037478441875
Cell_1_GEIS_SOC100_scan1,two_cpe_w,1,Cell_1_GEIS_SOC100_scan1.csv,61,9,28.513388857346307,0.48344213936043673,-157.7378257060105,9,-157.7378257060105,1,54,7,28.457749908835847,0.5133202551439722,"R0-p(R1,CPE1)-p(R2,CPE2)-Wo1",{},8,none,7,0.778782731789261,0.8389754009797334,0.148805392316339,0.32753873980333814,0.0,1,0.0
Cell_1_GEIS_SOC100_scan2,two_cpe_w,2,Cell_1_GEIS_SOC100_scan2.csv,61,9,2.9153058496890973,0.15458314781248167,-435.9465066857248,9,-435.9465066857248,1,55,6,2.8948176346751566,0.16222368492791778,"R0-p(R1,CPE1)-p(R2,CPE2)-Wo1",{},8,none,12,0.7570892000227704,0.32374853616964105,0.07832190699829904,0.17905722773511099,0.0,1,0.0
Cell_2_GEIS_SOC70,two_cpe_w_scan1,1,Cell_2_GEIS_SOC70.csv,61,9,0.027341360020879477,0.014970287517875686,-1005.6046985121015,9,-1005.6046985121015,1,50,11,0.0021088881246514985,0.004592263194386292,"R0-p(R1,CPE1)-p(R2,CPE2)-Wo1",{},8,none,14,0.8389501665076713,0.011553520643001311,0.03685802162489795,0.08202272715752343,0.0,1,0.0
Cell_2_GEIS_SOC70,two_cpe_w_scan2,2,Cell_2_GEIS_SOC70.csv,61,9,0.026279031449629904,0.014676576478460976,-1010.4394654122946,9,-1010.4394654122946,1,50,11,0.0012751764116667316,0.0035709612314707806,"R0-p(R1,CPE1)-p(R2,CPE2)-Wo1",{},8,none,15,0.8105657558800239,0.009720345767004528,0.031073706354286777,0.07084706327407918,0.0,1,0.0
